lsoa_code,borough,major_category,minor_category,value,year,month
E01001863,Hammersmith and Fulham,Robbery,Business Property,0,2014,9
E01002804,Islington,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,6
E01003483,Newham,Burglary,Burglary in Other Buildings,0,2015,2
E01002193,Harrow,Robbery,Business Property,0,2013,12
E01000507,Brent,Violence Against the Person,Assault with Injury,0,2009,5
E01000723,Bromley,Theft and Handling,Motor Vehicle Interference & Tampering,0,2009,3
E01001807,Hackney,Theft and Handling,Other Theft Person,0,2016,8
E01001162,Croydon,Robbery,Personal Property,0,2016,1
E01001279,Ealing,Violence Against the Person,Common Assault,0,2013,10
E01001733,Hackney,Burglary,Burglary in a Dwelling,2,2008,5
E01003484,Newham,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,3
E01002093,Haringey,Violence Against the Person,Harassment,1,2012,3
E01002374,Havering,Robbery,Personal Property,0,2009,8
E01004142,Sutton,Burglary,Burglary in Other Buildings,3,2013,5
E01000401,Bexley,Violence Against the Person,Wounding/GBH,0,2011,4
E01000223,Barnet,Violence Against the Person,Harassment,1,2014,1
E01001572,Greenwich,Drugs,Possession Of Drugs,0,2012,10
E01004093,Sutton,Violence Against the Person,Wounding/GBH,0,2016,7
E01003225,Lewisham,Other Notifiable Offences,Going Equipped,0,2008,1
E01002618,Hounslow,Theft and Handling,Handling Stolen Goods,0,2013,1
E01003703,Redbridge,Criminal Damage,Criminal Damage To Motor Vehicle,0,2009,10
E01002556,Hounslow,Burglary,Burglary in a Dwelling,0,2009,9
E01000784,Bromley,Criminal Damage,Criminal Damage To Motor Vehicle,0,2013,1
E01002888,Kensington and Chelsea,Drugs,Drug Trafficking,0,2011,11
E01001346,Ealing,Other Notifiable Offences,Other Notifiable,0,2009,3
E01003008,Kingston upon Thames,Theft and Handling,Theft/Taking of Pedal Cycle,0,2008,4
E01001806,Hackney,Robbery,Business Property,0,2016,7
E01003902,Richmond upon Thames,Criminal Damage,Criminal Damage To Motor Vehicle,0,2013,3
E01002276,Havering,Burglary,Burglary in a Dwelling,1,2016,8
E01003987,Southwark,Violence Against the Person,Wounding/GBH,0,2010,6
E01002938,Kingston upon Thames,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,5
E01003625,Newham,Violence Against the Person,Other violence,0,2015,3
E01002857,Kensington and Chelsea,Other Notifiable Offences,Other Notifiable,0,2015,5
E01001227,Ealing,Violence Against the Person,Other violence,0,2008,10
E01003264,Lewisham,Other Notifiable Offences,Other Notifiable,0,2008,6
E01000233,Barnet,Robbery,Business Property,0,2013,6
E01001170,Croydon,Violence Against the Person,Common Assault,1,2014,11
E01000045,Barking and Dagenham,Robbery,Business Property,1,2013,5
E01003067,Lambeth,Violence Against the Person,Offensive Weapon,0,2016,4
E01032803,Southwark,Burglary,Burglary in Other Buildings,0,2009,12
E01002641,Hounslow,Violence Against the Person,Offensive Weapon,1,2015,10
E01003128,Lambeth,Drugs,Other Drugs,0,2011,7
E01003908,Richmond upon Thames,Theft and Handling,Handling Stolen Goods,0,2012,4
E01004402,Waltham Forest,Violence Against the Person,Assault with Injury,1,2011,11
E01003396,Merton,Criminal Damage,Criminal Damage To Other Building,0,2009,10
E01001889,Hammersmith and Fulham,Criminal Damage,Criminal Damage To Dwelling,0,2008,1
E01003311,Lewisham,Burglary,Burglary in Other Buildings,0,2014,2
E01000549,Brent,Other Notifiable Offences,Going Equipped,1,2011,5
E01003083,Lambeth,Theft and Handling,Other Theft,0,2010,4
E01003823,Richmond upon Thames,Criminal Damage,Criminal Damage To Motor Vehicle,0,2008,2
E01004674,Westminster,Theft and Handling,Motor Vehicle Interference & Tampering,1,2014,4
E01000936,Camden,Robbery,Personal Property,1,2011,11
E01000098,Barking and Dagenham,Burglary,Burglary in Other Buildings,0,2013,4
E01000080,Barking and Dagenham,Other Notifiable Offences,Other Notifiable,0,2013,8
